step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,98,2,0.764453161,0,0,1.467268819,0,0.5,,
2,132,4,1.576230485,0,0,,,,,
3,182,6,0.998156748,0,0.5,,,,,
4,232,8,0.819145087,0,0.5,,,,,
5,314,10,0.579853131,0,0.5,,,,,
6,396,12,0.419624576,0,0.5,,,,,
7,462,14,0.407130136,0.5,0.75,,,,,
8,544,16,0.462637096,0.5,0.75,,,,,
9,578,18,0.665912877,0,0.5,,,,,
10,612,20,0.696997488,0,0.5,,,,,
11,662,22,0.403608234,0,0.5,,,,,
12,760,24,0.383131999,0.5,0.75,,,,,
13,826,26,0.323400688,1,1,,,,,
14,876,28,0.502387302,0.5,0.75,,,,,
15,910,30,0.577858455,0,0.5,,,,,
16,976,32,0.372804676,0,0.5,,,,,
17,1026,34,0.338856621,0.5,0.75,,,,,
18,1156,36,0.295301516,0,0.5,,,,,
19,1206,38,0.586706526,0,0.5,,,,,
20,1256,40,0.319787167,0.5,0.75,,,,,
21,1306,42,0.368207371,0.5,0.75,,,,,
22,1372,44,0.289421827,1,1,,,,,
23,1422,46,0.404501715,0,0.5,,,,,
24,1472,48,0.353726378,0.5,0.75,,,,,
25,1538,50,0.388716537,0,0.5,,,,,
26,1620,52,0.304352559,0,0.5,,,,,
27,1654,54,0.327493493,0.5,0.75,,,,,
28,1688,56,0.536112347,0,0.5,,,,,
29,1722,58,0.301147559,0.5,0.75,,,,,
30,1820,60,0.279182017,0.5,0.75,,,,,
31,1886,62,0.31611779,0.5,0.75,,,,,
32,1920,64,0.207908697,0.5,0.75,,,,,
33,1954,66,0.520002183,0.5,0.75,,,,,
34,2004,68,0.210504912,0.5,0.75,,,,,
35,2086,70,0.331573952,1,1,,,,,
36,2152,72,0.273277872,0,0.5,,,,,
37,2218,74,0.232979427,0,0.5,,,,,
38,2252,76,0.301025231,0.5,0.75,,,,,
39,2302,78,0.364587203,0,0.5,,,,,
40,2384,80,0.218443274,0.5,0.75,,,,,
41,2466,82,0.362202719,0,0.5,,,,,
42,2580,84,0.215375014,0.5,0.75,,,,,
43,2614,86,0.217825479,0.5,0.75,,,,,
44,2664,88,0.355893201,0,0.5,,,,,
45,2714,90,0.403536496,0.5,0.75,,,,,
46,2780,92,0.293720122,0,0.5,,,,,
47,2814,94,0.436589113,0,0.5,,,,,
48,2896,96,0.322563458,0,0.5,,,,,
49,2962,98,0.154382078,1,1,,,,,
50,3012,100,0.244066635,1,1,,,,,
51,3062,102,0.308151936,0.5,0.75,,,,,
52,3144,104,0.24404187,0.5,0.75,,,,,
53,3210,106,0.203659557,0.5,0.75,,,,,
54,3308,108,0.208728177,0.5,0.75,,,,,
55,3342,110,0.283963576,0.5,0.75,,,,,
56,3424,112,0.291479514,0.5,0.75,,,,,
57,3474,114,0.332786942,0.5,0.75,,,,,
58,3524,116,0.286224528,0,0.5,,,,,
59,3590,118,0.224446045,1,1,,,,,
60,3672,120,0.315266933,0,0.5,,,,,
61,3722,122,0.370566319,0,0.5,,,,,
62,3788,124,0.268709664,0,0.5,,,,,
63,3822,126,0.229534021,0,0.5,,,,,
64,3856,128,0.27735825,1,1,,,,,
